No.,Feature,Source,Overlap with xrpl-up,Phase,Reason,Notes
29,SQLite persistence,workload,No,TBD,Likely better as a separate project because persistent workload state and resume behavior are not part of a lightweight sandbox's core role.,"Persists wallets, transactions, validations, and balances for restart/resume."
30,Assertions (Antithesis SDK),workload,No,TBD,Likely better as a separate project because assertion/event instrumentation belongs with workload execution rather than the base sandbox CLI.,Optional assertion and event-tracing hooks with local fallback behavior.
31,Self-healing,workload,No,TBD,"Likely better as a separate project because automated recovery logic is part of workload orchestration, not lightweight sandbox management.","Expires stale transactions, invalidates fee cache on telINSUF_FEE_P, and auto-creates accounts during workload."
32,"Env vars (RPC_URL, WS_URL, etc.)",workload,Partial,TBD,Likely better as a separate project because these settings mainly configure workload generation and runtime behavior rather than the lightweight sandbox tool itself.,"Runtime configuration via RPC_URL, WS_URL, RIPPLED_IP, WORKLOAD_PERSIST, TESTNET_DIR, GEN_BIN, TESTNET_VALIDATORS, LOG_LEVEL."
33,config.toml modeling,workload,No,TBD,Likely better as a separate project because transaction load generation has a different runtime model and scope than the sandbox tool's developer CLI.,"Structured config for funding, gateways, users, AMM, currencies, transactions, timeouts, genesis, and rippled settings."
34,CLI: gen auto,generate_ledger,Partial,Phase 2,"Useful in a later phase when the sandbox tool expands from a lightweight sandbox into fuller local network generation, because this command creates an end-to-end runnable environment rather than only the ledger data.","Full environment generation: ledger.json, accounts.json, per-validator xrpld.cfg, and docker-compose.yml."
35,CLI: gen ledger,generate_ledger,Partial,Phase 2,"Useful in a later phase when ledger-generation workflows become part of the sandbox tool, because this command focuses on producing genesis ledger data without the rest of the runnable network setup.","Ledger-only generation for ledger.json and accounts.json with trustline, AMM, MPT, and amendment controls."
36,CLI: rippled write,generate_ledger,Partial,Phase 2,"Useful in a later phase when the sandbox tool expands into guided multi-node network setup, because validator config generation is more advanced and harder for typical users to navigate in a lightweight Phase 1 CLI.",Generates validator and hub xrpld.cfg files from a template.
37,CLI: compose write,generate_ledger,Partial,Phase 2,"Useful in a later phase when the sandbox tool expands into guided multi-node network setup, because compose generation for several nodes introduces more infrastructure detail than a lightweight Phase 1 sandbox should expose directly.",Generates docker-compose.yml for validators and hub nodes.
38,Amendment profiles,generate_ledger,Partial,Phase 2,"Useful in a later phase when the sandbox tool expands into fuller generated-network configuration, because profile-driven amendment setup is more advanced than the lightweight Phase 1 sandbox baseline.","Supports mainnet, develop, and custom amendment profiles plus per-amendment overrides."
39,CLI spec formats,generate_ledger,Partial,Phase 2,"Useful in a later phase if the sandbox tool adds more advanced genesis or local network generation flows, because these compact specs are mainly shorthand inputs for generated starting-state configuration.","Trustline, AMM pool, and MPT issuance compact string specs for generation input."
40,Library API,generate_ledger,No,TBD,Likely better as a separate project or advanced module because a programmable generation API is broader than the lightweight sandbox tool's core CLI scope.,"Importable generator API with LedgerConfig, AccountConfig, FeeConfig, and related config classes."
41,Crypto backends,generate_ledger,No,Phase 2,"Useful in a later phase when larger network generation and faster account/key creation become important, but not necessary for the lightweight Phase 1 sandbox baseline.","CPU, fast native, and GPU-accelerated account/key generation paths."
42,GL_* env var config,generate_ledger,No,Phase 2,"Useful in a later phase for CI and advanced generator automation, because it lets generation settings be supplied through GL_* environment variables instead of only CLI flags or config files.",All config fields support GL_* environment variables and .env loading.
